"start";"end";"I1_min";"I1_max";"I2_min";"I2_max";"I3_min";"I3_max";"U12_min";"U12_max";"U23_min";"U23_max";"U31_min";"U31_max"
"08.07.2018 03:18:14.995777";"08.07.2018 03:18:14.995978";58,06352;58,37409;-13,54595;-11,29904;-44,80218;-42,44025;30005,06;31932,24;14366,58;16917,48;-46922,54;-46298,82
"08.07.2018 03:18:14.995978";"08.07.2018 03:18:14.996178";58,37409;58,60991;-11,29904;-9,182898;-46,98611;-44,80218;27940,53;30005,06;16917,48;19366,72;-47307,24;-46922,54
"08.07.2018 03:18:14.996178";"08.07.2018 03:18:14.996379";57,50094;58,60991;-9,182898;-3,962777;-50,91674;-46,98611;23710,72;27940,53;19366,72;24028,84;-47739,56;-47307,24
"08.07.2018 03:18:14.996379";"08.07.2018 03:18:14.996579";55,77411;57,50094;-3,962777;-0,4610993;-52,70228;-50,91674;21697,07;23710,72;24028,84;25894,26;-47739,56;-47591,34
"08.07.2018 03:18:14.996579";"08.07.2018 03:18:14.996779";53,34401;55,77411;-0,4610993;3,563012;-54,37778;-52,70228;19875,88;21697,07;25894,26;27491,88;-47591,34;-47367,77
"08.07.2018 03:18:14.996779";"08.07.2018 03:18:14.996980";50,50806;53,34401;3,563012;7,817639;-55,9413;-54,37778;18159,1;19875,88;27491,88;28842,81;-47367,77;-47001,92
"08.07.2018 03:18:14.996980";"08.07.2018 03:18:14.997180";45,12621;50,50806;7,817639;15,53307;-58,68968;-55,9413;14318,16;18159,1;28842,81;31862,9;-47001,92;-46181,06
"08.07.2018 03:18:14.997180";"08.07.2018 03:18:14.997381";43,11896;45,12621;15,53307;18,44284;-59,81721;-58,68968;11884,51;14318,16;31862,9;33606,26;-46181,06;-45490,77
"08.07.2018 03:18:14.997381";"08.07.2018 03:18:14.997581";41,60135;43,11896;18,44284;20,64378;-60,70402;-59,81721;9286,973;11884,51;33606,26;35462,41;-45490,77;-44749,38
"08.07.2018 03:18:14.997581";"08.07.2018 03:18:14.997781";38,95518;41,60135;20,64378;23,75442;-61,42295;-60,70402;4190,2;9286,973;35462,41;38644,46;-44749,38;-42834,67
"08.07.2018 03:18:14.997781";"08.07.2018 03:18:14.997982";37,10625;38,95518;23,75442;25,28238;-61,42295;-61,1229;1728,139;4190,2;38644,46;40094,46;-42834,67;-41822,6
"08.07.2018 03:18:14.997982";"08.07.2018 03:18:14.998182";34,56335;37,10625;25,28238;27,14429;-61,1229;-60,38492;-507,0372;1728,139;40094,46;41261,65;-41822,6;-40754,63
"08.07.2018 03:18:14.998182";"08.07.2018 03:18:14.998383";31,31675;34,56335;27,14429;29,45155;-60,38492;-59,31626;-2716,995;-507,0372;41261,65;42328,66;-40754,63;-39611,65
